,mse,ssim,pod,far,csi
0,0.0017760849,0.7643950680094446,0.2109375,0.23943661971830985,0.1978021978021978
1,0.0032247403,0.3139337509265074,0.0079155672823219,0.896551724137931,0.007407407407407408
2,0.0036491978,0.533568254128204,0.0,1.0,0.0
3,0.0038509993,0.5858954696352707,0.003246753246753247,0.3333333333333333,0.0032414910858995136
4,0.0037955635,0.6221835867301658,0.0,,0.0
5,0.0043103336,0.6644673096724669,0.0,,0.0
6,0.0046179686,0.581537870555824,0.0,1.0,0.0
7,0.0048744683,0.29437336796259117,0.0,,0.0
8,0.004891169,0.549356290237167,0.0,,0.0
9,0.00490353,0.48961760596328796,0.0,,0.0
