,mse,ssim,pod,far,csi
0,0.0039013631,0.6342783330899796,0.22178060085099746,0.4340870441271221,0.18383220589936453
1,0.0054790843,0.3358821146113067,0.042112945240802814,,0.03797396115137073
2,0.0061993287,0.45563421425275297,0.0020383895463861345,,0.0020182622776404014
3,0.0066245194,0.4762572758574399,0.004688138464058875,,0.0042852632263609
4,0.0063921907,0.49725607268479705,0.0004112554112554112,,0.00040994623655913974
5,0.0064848983,0.5016228891189444,0.0006392943339845995,,0.0006361413528185166
6,0.006581863,0.4578275884163839,0.004074803628392117,,0.004025468855975576
7,0.0066695805,0.317386896301129,0.0017199919497078856,,0.001686939889290255
8,0.0066004465,0.45516056865631155,0.0004346003037102514,,0.0004323454995693368
9,0.0073070894,0.4095651494391672,0.0,,0.0
