,mse,ssim,pod,far,csi
0,0.009899426,0.44842762802884983,0.0,,0.0
1,0.00935424,0.49214323334689003,0.0,,0.0
2,0.009012192,0.5044378751209022,0.0003654970760233918,,0.00036390101892285295
3,0.00875595,0.522685771166365,0.0015315714965149386,,0.0015187313440972166
4,0.008576627,0.517289880805825,0.00420279724476664,,0.004097215960428673
5,0.008432237,0.5319314892866701,0.0013657493197138286,,0.0013642462860869776
6,0.008437275,0.520608666646809,0.005565727538733979,,0.005381225335518297
7,0.00864891,0.5221920856412736,0.003167155200614495,,0.003055258609267711
8,0.00890928,0.5061273285301068,0.003502453439637202,,0.003321287318071865
9,0.009237812,0.4991855184603162,0.01024827699213716,,0.010073551925100465
