,mse,ssim,pod,far,csi
0,0.005175039,0.5374278322066574,0.0,,0.0
1,0.0052202367,0.6132247978572942,0.0,,0.0
2,0.005072735,0.6264848601407154,0.0,,0.0
3,0.005086652,0.6572161267741466,0.003246753246753247,0.0,0.003246753246753247
4,0.005035995,0.648201424334143,0.01327433628318584,0.0,0.01327433628318584
5,0.005221836,0.6730861100300326,0.0014749262536873156,0.5,0.0014727540500736377
6,0.005567744,0.6536534713379389,0.007104795737122558,0.42857142857142855,0.007067137809187279
7,0.0055383146,0.6594539100885818,0.010471204188481676,0.42857142857142855,0.01038961038961039
8,0.005957698,0.6360052099712347,0.0058309037900874635,0.5,0.005797101449275362
9,0.005947307,0.6281948243658074,0.031914893617021274,0.14285714285714285,0.031746031746031744
