,mse,ssim,pod,far,csi
0,0.012875251,0.3978285045853039,0.2790302428832967,0.4400641785180975,0.21259776387977536
1,0.012579865,0.42030852320904794,0.27104193983104824,0.4199295165516952,0.21084181599028398
2,0.012491713,0.4385247196890147,0.2764666205175644,0.38925571279051135,0.21850180527183538
3,0.012403219,0.4592804162218218,0.2635987107555061,0.36242812554347537,0.2173308721505094
4,0.012431201,0.4854926330865197,0.2628411862438332,0.3489018540081498,0.22111098996428902
5,0.012417373,0.4659008007712626,0.2401182563329981,0.3240454769714422,0.21236774371462194
6,0.012494833,0.45588485278964175,0.2396629448991574,0.32560882676330033,0.2143344733170459
7,0.012500044,0.43501876178954246,0.23873544168024155,0.3209833376064443,0.21444833347066963
8,0.012868375,0.41845296786919867,0.22203346654937808,0.32093056614146703,0.20104099751656457
9,0.0133848665,0.37738271754677455,0.18910406368976793,0.32777824963112506,0.1744891082086332
