,mse,ssim,pod,far,csi
0,0.010095983,0.40158710746625603,0.10993513202287708,0.45548475180433795,0.09368283480431078
1,0.009930179,0.40862103918007936,0.16307980605506653,0.475878021917936,0.13558911172999608
2,0.009715184,0.45103304216150203,0.14500885967481458,0.42663577136176345,0.12289530645044418
3,0.009828598,0.47624723502014876,0.10946722543177978,,0.09833617118221726
4,0.009899471,0.4774884067449047,0.10678141568293108,,0.09642878122418858
5,0.010042398,0.5167011537373657,0.09265123169903998,,0.0854896894033879
6,0.010169237,0.5278884116594427,0.07139287561147602,,0.0665923302583962
7,0.010435648,0.5321274611854566,0.061520688255954276,,0.05821852260846591
8,0.010039809,0.5213601139483269,0.05049840785778915,,0.048569580622600105
9,0.010341495,0.5175736454901256,0.040994950111649525,,0.03974049342375902
