,mse,ssim,pod,far,csi
0,0.00895602,0.4209946649230531,0.0671573137074517,0.4251968503937008,0.06397896581945661
1,0.008073226,0.41896032259481775,0.15182186234817813,0.3617021276595745,0.13979496738117428
2,0.007158135,0.47688239290611567,0.1341991341991342,0.3333333333333333,0.1257606490872211
3,0.007344068,0.49767053617592155,0.09038901601830664,0.3247863247863248,0.08662280701754387
4,0.008679168,0.49430132261324405,0.06564102564102564,0.36,0.06330365974282888
5,0.0071343244,0.5602411225963561,0.054945054945054944,0.4148936170212766,0.052884615384615384
6,0.0055513433,0.5811909613627994,0.05037783375314862,0.5348837209302325,0.047619047619047616
7,0.0060886717,0.5990926692956888,0.03836317135549872,0.625,0.036057692307692304
8,0.004905593,0.5989291839898664,0.03590664272890485,0.6363636363636364,0.033783783783783786
9,0.00470392,0.5912435746832537,0.019011406844106463,0.8076923076923077,0.017605633802816902
